,job,company,country,address,time,link
239,Automation Tester,Laudert Vietnam,"
Germany
",Ha Noi,9 giờ trước,https://itviec.com/viec-lam-it/automation-tester-laudert-vietnam-0505?lab_feature=preview_jd_page
240,Senior QC (Tester/QA/ Kiểm thử phần mềm),VUIAPP by Nano Technologies,"
Vietnam
",Ha Noi,1 ngày trước,https://itviec.com/viec-lam-it/senior-tester-qa-qc-35m-vuiapp-by-nano-technologies-2428?lab_feature=preview_jd_page
241,BackEnd Developer (upto 2500$),Lozi,"
Vietnam
",Hot,1 ngày trước,https://itviec.com/viec-lam-it/backend-developer-upto-2500-lozi-3236?lab_feature=preview_jd_page
242,Application Security Engineer,Hung Thinh Corporation,"
Vietnam
",Ha Noi,1 ngày trước,https://itviec.com/viec-lam-it/application-security-engineer-hung-thinh-corporation-0810?lab_feature=preview_jd_page
243,Senior Android Mobile Engineer,Skedulo Vietnam,"
Australia
",Ho Chi Minh,1 ngày trước,https://itviec.com/viec-lam-it/senior-android-mobile-engineer-skedulo-vietnam-3453?lab_feature=preview_jd_page
244,Principal/Staff Software Engineer,Ninja Van Tech Lab,"
Singapore
",Hot,2 ngày trước,https://itviec.com/viec-lam-it/principal-staff-software-engineer-ninja-van-tech-lab-2502?lab_feature=preview_jd_page
245,Senior Software Engineer in QA ,Ninja Van Tech Lab,"
Singapore
",Ho Chi Minh,2 ngày trước,https://itviec.com/viec-lam-it/senior-software-engineer-in-qa-ninja-van-tech-lab-5547?lab_feature=preview_jd_page
246,Senior Software Architect (Android/iOS),Fossil Vietnam,"
United States
",Ho Chi Minh,3 ngày trước,https://itviec.com/viec-lam-it/senior-software-architect-android-ios-fossil-vietnam-5330?lab_feature=preview_jd_page
247,Software Architect,DIGI-TEXX VIETNAM,"
Germany
",Hot,3 ngày trước,https://itviec.com/viec-lam-it/software-architect-digi-texx-vietnam-5504?lab_feature=preview_jd_page
248,Senior Application Developer (e-Office),NOVAGROUP,"
Vietnam
",Ho Chi Minh,3 ngày trước,https://itviec.com/viec-lam-it/senior-application-developer-e-office-novagroup-5507?lab_feature=preview_jd_page
249,Senior Mobile Engineer (Flutter+Native),Xplor in partnership with Positive Thinking Company,"
United States
",Ho Chi Minh,3 ngày trước,https://itviec.com/viec-lam-it/senior-mobile-engineer-flutter-native-xplor-in-partnership-with-positive-thinking-company-4821?lab_feature=preview_jd_page
250,"Zalopay, Senior Data Scientist",VNG Corporation,"
Vietnam
",Hot,3 ngày trước,https://itviec.com/viec-lam-it/zalopay-senior-data-scientist-vng-corporation-2843?lab_feature=preview_jd_page
251,"Full Stack Engineer (Up to $3,500 Gross)",Talosix,"
United States
",Ho Chi Minh,3 ngày trước,https://itviec.com/viec-lam-it/full-stack-engineer-up-to-3-500-talosix-5838?lab_feature=preview_jd_page
252,Automation Test Engineer (Selenium),ELCA,"
Switzerland
",Ho Chi Minh,3 ngày trước,https://itviec.com/viec-lam-it/automation-test-engineer-selenium-elca-4821?lab_feature=preview_jd_page
253,Fresher Backend (Java /.Net),Kootoro Việt Nam,"
Vietnam
",Hot,3 ngày trước,https://itviec.com/viec-lam-it/fresher-backend-java-net-kootoro-viet-nam-2224?lab_feature=preview_jd_page
254,ICT Technical Business Analysis Officer,Shinhan Finance Vietnam,"
Vietnam
",Ho Chi Minh,3 ngày trước,https://itviec.com/viec-lam-it/ict-technical-business-analysis-officer-shinhan-finance-vietnam-1933?lab_feature=preview_jd_page
